id,question,A,B,C,D.,answer,category
135,O que não inclui a razão pela qual o Linux não pode iniciar,Configuração incorreta do sistema de arquivos,Infecção viral,Desligamento ilegal,Mau funcionamento do hardware,C,Infrastructure
136,"Se o programa de aplicativo precisa imprimir dados durante a execução, geralmente forma primeiro um trabalho de impressão e o armazena em um local especificado no disco rígido. Quando a impressora está ociosa, os trabalhos pendentes são retirados dela e impressos em ordem de chegada.",a stack,a queue,an array,a string,B,Software architecture
137,"Na fase de requisitos, o dicionário de dados deve definir pelo menos o que para garantir que o cliente e a equipe de desenvolvimento estejam usando definições e terminologias consistentes.",item de dados do cliente,estrutura de dados,processo,entidade externa,C,Software architecture
138,"Antes de decidir sobre um projeto de aplicação de sistema de informação gerencial, que trabalho deve ser feito no desenvolvimento de sistemas",trabalho detalhado de investigação,Análise de Viabilidade,projeto lógico,projeto físico,D.,Operating system
139,"A marca registrada dos produtos de software de uma empresa de software é S. Para garantir que a empresa tenha uma vantagem na concorrência de mercado, os funcionários são restritos em confidencialidade. Neste caso, a empresa não tem direitos sobre o produto de software",direitos de segredo comercial,copyright,patente,direitos de marca registrada,C,Operating system
140,"Na gestão de recursos populacionais do centro de informações, as cidades acima do nível de condado são classificadas de acordo com sua população, e o número de série é o código da cidade, como 001 para Shanghai, 002 para Pequim, e 003 para Tianjin. A que método de codificação pertence este método de codificação",mnemônicos,último dígito,código de sequência,código de intervalo,D.,Application
141,"Na configuração do SNMP na figura abaixo, o que pode responder ao pedido getRequest do Manager2",gent1,Agent2,Agent3,Agent4,D.,Information security 
142,Quais são os principais componentes do CPU?,"Unidades de Aritmética, Controladores e Barramentos do Sistema","Unidade de aritmética, banco de registros e memória interna","Unidades de Aritmética, Controladores e Bancos de Registros","Controlador, Decodificador de Instruções e Banco de Registros",B,Network 
143,"A gestão de dispositivos de rede é uma parte importante da gestão de recursos de rede. Em equipamentos de rede, o que é um gateway?",Equipamento de interconexão de meio de transmissão de rede,Equipamento de interconexão da camada física de rede,Interconexão da camada de link de dados,Dispositivos interconectados da camada de aplicação,C,Network 
144,"Na descrição a seguir sobre o código de verificação, qual opção está correta",Os códigos de Hamming usam a paridade de múltiplos grupos de dígitos para detectar e corrigir erros,A distância do código do código de Hamming deve ser maior ou igual a 1,O código de verificação de redundância cíclica possui fortes capacidades de detecção de erros e correção de erros,A distância do código do código de verificação de redundância cíclica deve ser 1,D.,Operating system
145,"Para uma árvore binária não vazia, se você primeiro visitar cada subárvore do nó raiz e depois visitar o nó raiz, o que é geralmente chamado de traversal?",traversal em ordem pré,traversal em ordem,traversal em ordem pós,traversal de nível,A,Application
146,Quais das seguintes medidas são erradas para otimizar o sistema Linux?,Habilitar selinux e iptables,"Esvaziar /etc/issue, remover a tela de exibição antes de entrar no sistema e na versão do kernel",Configurar origem doméstica do yum,"Adicionar usuários comuns sem root, e gerenciar através de autorização sudo",D.,Operating system
147,"Partindo dos erros expostos pelo teste, coletando todos os dados corretos ou incorretos, analisando a relação entre eles, propondo uma causa hipotética do erro, usando esses dados para provar ou refutar, a fim de encontrar onde está o erro, é um método de solução de problemas que método em:",Backtracking,heurísticas,Indução,Dedução,C,Operating system
148,"Após executar os casos de teste projetados, analise os resultados dos testes, descubra a causa e o local específico do erro e corrija (exclua) o método de detecção normalmente se refere ao que",teste de caixa preta,Depuração,teste de caixa branca,teste estrutural,C,Operating system
149,"After the information system is completed, according to the characteristics of the information system, the requirements of the system evaluation and the composition principles of the specific evaluation index system, the information system can be evaluated from three aspects. These evaluations generally do not include which of the following options",Technical Performance Evaluation,Management Benefit Evaluation,Economic Benefit Evaluation,Social Benefit Evaluation,B,Operating system
150,"Capability Maturity Model Integration (CMMI) é a síntese e melhoria de vários modelos de processos. Os dois métodos de representação fornecidos pelo CMMI são o modelo contínuo e o modelo em estágios, e o modelo contínuo inclui 6 níveis de capacidade da área de processo, que usa meios quantitativos (estatísticos) para mudar e otimizar a área de processo em resposta às mudanças nos requisitos dos clientes e na eficácia das áreas de processo no plano de melhoria contínua.",CL2 (gerenciado),CL3 (classe definida),CL4 (quantitativamente gerenciado),CL5 (otimizado),C,Infrastructure
151,"Parallelismo refere-se à característica de um sistema de computador que pode realizar cálculos ou operações ao mesmo tempo, quais das seguintes opções estão incluídas",Simultaneidade e Concurrency,Sincronização e Assincronia,Simultaneidade e sincronismo,Concurrency e Assincronia,D.,Operating system
152,O método do ciclo de vida divide o processo de desenvolvimento do sistema de gerenciamento em quê,"Análise de sistemas, organização de sistemas, manutenção de sistemas","Projeto de sistemas, implementação de sistemas, manutenção de sistemas","Análise de sistemas, organização de sistemas, implementação de sistemas","Análise de sistemas, projeto de sistemas, implementação de sistemas",A,Middleware
153,"A gestão de TI empresarial pode ser dividida em três níveis: planejamento estratégico, gerenciamento de sistemas, gerenciamento técnico e suporte, entre os quais o trabalho de planejamento estratégico é principalmente concluído por quem na empresa.",alta gerência,funcionários do departamento de TI,geral manager,chief financial officer,B,Infrastructure
154,"Que tipo de padrão é ""GB8567-88 Diretrizes para Compilação de Documentação de Desenvolvimento de Produtos de Software de Computador""? Se você violar este padrão e causar consequências adversas, será submetido a punição administrativa ou responsabilidade criminal de acordo com a gravidade das circunstâncias.",estado obrigatório,indústria de software obrigatória,recomendado pelo país,recomendado pela indústria de software,C,Application
155,"Em relação aos direitos autorais, qual direito tem um prazo de proteção ilimitado?",direito de publicação,direitos de distribuição,autoria,direitos de exibição,C,Network 
156,"O escopo da gestão de custos do sistema é aproximadamente dividido em duas categorias, nomeadamente custos fixos e custos variáveis. Entre eles, os custos variáveis se referem a custos diários que não estão relacionados à formação de ativos. Entre os itens listados abaixo, aqueles que não pertencem a custos fixos são:",Custos de operação,Custos de construção e custos do local,Custo de recursos humanos,Custo de serviços terceirizados,A,Network 
157,"Dos seguintes logs, quais conclusões podem ser tiradas? [2022-01-01 10:00:00] INFO: Login bem-sucedido do usuário, nome de usuário: admin [2022-01-01 10:05:00] WARNING: Uso de memória excedeu o limite, realizando limpeza de memória [2022-01-01 10 :10:00] ERROR: Corrupção do sistema de arquivos, realizando reparo [2022-01-01 10:15:00] DEBUG: Problema de conexão de rede detectado, investigando",O sistema tem um vazamento de memória,O login falhou para o usuário admin,O sistema de arquivos foi reparado com sucesso,O sistema está processando um problema de conexão de rede,C,Middleware
158,O conteúdo do manual do sistema não inclui:,Contexto e objetivos do projeto,Visão geral do projeto,Plano de implementação,Resultados da implementação,C,Middleware
159,"Informações como operações chave, operações anormais, falhas, monitoramento de desempenho e auditorias de segurança durante a operação do sistema de TI devem formar um relatório de operação do sistema correspondente para facilitar a análise e melhorar a gestão do sistema. Entre as opções a seguir, qual não pertence ao escopo do relatório de operação do sistema é:",Relatório de Situação Financeira da Empresa,Registro diário de operação do sistema,Relatório de Planejamento de Desempenho/Capacidade,Log de Auditoria de Segurança,D.,Network 
160,"Para realizar a gestão de recursos de software empresarial, é necessário primeiro identificar quais documentos e o que está em execução na empresa, classificá-los e registrá-los em arquivos.",software,o código,instrução,hardware,A,Infrastructure
161,O propósito do uso de memória virtual em um computador é para,Melhorar a velocidade de acesso ao armazenamento externo,Melhorar a velocidade de acesso à memória,Expandir o espaço de endereçamento da memória externa,Expandir o espaço de endereçamento da memória,D.,Middleware
162,Qual das seguintes afirmações sobre UML está incorreta?,UML é uma linguagem de documentação,UML é uma linguagem de construção,UML é uma linguagem de programação,UML é a Unified Modeling Language,C,Operating system
163,"A distribuição de gerenciamento de software é uma parte importante do gerenciamento de infraestrutura, que pode melhorar o nível de automação da manutenção de TI, realizar a padronização do uso de software dentro da empresa e reduzir o custo de manutenção de recursos de TI. Entre as opções a seguir, qual das seguintes opções não pertence ao conteúdo de trabalho do gerenciamento de distribuição de software.",implantação de software,Codificação e testes,Distribuição de patches de segurança,Gerenciamento e controle remotos,A,Middleware
164,A porta de dados padrão usada pelo protocolo FTP é,20,80,25,twenty three,D.,Infrastructure
165,"Em geral, o suporte ao usuário deve primeiro determinar o escopo do suporte ao usuário. Nas afirmações a seguir, qual opção não está incluída no escopo do suporte geral ao usuário?",Serviço de atualização de software,Serviço técnico de suporte de software,Serviço de suporte de linha direta remota,Operação de plataforma cruzada de software ao longo da vida,D.,Operating system
166,"De acordo com a análise da agência de pesquisa de mercado GartnerGroup das causas de interrupções não planejadas, as falhas que causam interrupções não planejadas são divididas em três categorias. Qual das seguintes opções não pertence às três categorias que ela define?",falha técnica,falha de aplicativo,falha operacional,falhas catastróficas como terremotos,B,Application
